year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1978,7,31,.0055844,.0551508,.1528069,.1246924,.078349,.0930349,.0584576,.0670977,.0507882,.0514533,.04956647,.14722254,.11910806,.07276458,.08745049,.05287319,.06151337,.04520379,.04586891
1978,8,31,.0055844,.042197,.0441126,.036139,.005087,.040854,-.0032051,.0306262,.0587405,.0532564,.03661267,.0385282,.03055467,-.00049734,.03526962,-.00878951,.02504181,.05315612,.04767199
1978,9,30,.0061809,-.008133,-.0817525,-.0391567,.0123237,-.0262413,.0141987,-.0256255,-.0089398,-.0234734,-.01431384,-.08793336,-.04533757,.00614289,-.03242217,.00801786,-.03180641,-.0151207,-.02965421
1978,10,31,.006777,-.1191214,-.1671177,-.1159722,-.1271518,-.2011375,-.1585269,-.1886214,-.1144013,-.1389173,-.12589841,-.17389471,-.12274916,-.13392877,-.20791445,-.16530389,-.19539835,-.12117825,-.14569429
1978,11,30,.0069756,.0335315,.0987588,.0747363,.0127188,.0483139,.0435383,.0073728,.0179381,.0196065,.02655587,.09178316,.06776073,.00574316,.04133824,.03656269,.00039714,.01096253,.01263092
1978,12,31,.0077697,.0164637,.0256677,.0514533,.0021976,.0323704,.0329511,-.0071253,.012225,-.0155198,.00869399,.01789801,.04368355,-.00557215,.02460064,.02518136,-.01489506,.00445523,-.02328955
1979,1,31,.0076705,.0487902,.0493614,.0398936,.1255748,.0307232,.0641947,.0597772,.0612832,.061001,.04111966,.04169092,.03222306,.11790432,.02305267,.05652421,.0521067,.05361272,.05333052
1979,2,28,.0072735,-.0287082,-.1389173,-.0532953,-.0374942,-.0625139,-.0396768,-.0760175,-.0315939,-.0440564,-.03598165,-.14619079,-.06056878,-.04476769,-.06978739,-.0469503,-.08329097,-.03886735,-.05132987
1979,3,31,.0080674,.0628809,.068406,.0524976,.087003,.0684994,.0770536,.076498,.0656005,.0556239,.05481352,.06033866,.0444302,.07893567,.06043205,.06898626,.0684306,.05753309,.04755653
1979,4,30,.0079682,.0073728,-.0106566,.0096533,-.0063199,-.0146062,.0221528,.0691529,.0154796,.006479,-.00059542,-.01862475,.00168509,-.0142881,-.02257432,.01418464,.06118469,.0075114,-.0014892
1979,5,31,.0081666,-.0139975,-.0604934,.0081666,-.026344,-.0147076,-.0477207,.0030952,.0024969,-.0290169,-.02216407,-.06865994,-1.704e-10,-.03451054,-.02287419,-.0558873,-.00507136,-.00566968,-.03718351
1979,6,30,.0080674,.0455468,.0392207,.0338215,.0215658,.0954011,.0589291,.0333381,.0705517,.0265446,.03747944,.03115334,.02575418,.01349841,.08733372,.0508617,.02527069,.06248428,.01847718
1979,7,31,.0076705,.0157749,.0373921,.0235212,.0441126,.0369104,.007472,.0138043,.0384512,.0076705,.00810441,.02972161,.01585069,.03644207,.02923985,-.00019849,.00613377,.03078068,2.113e-10
1979,8,31,.0076705,.0610951,.1192042,.1404574,.0689662,.1603315,.110557,.088194,.045069,.0881024,.0534246,.11153374,.13278685,.0612957,.15266103,.10288648,.08052351,.03739846,.08043194
1979,9,30,.0082657,.0001,-.0022024,-.026344,.0251803,.0303352,-.0103534,.0138043,-.0044097,-.0197946,-.00816575,-.01046817,-.03460972,.01691455,.02206946,-.01861916,.00553854,-.01267545,-.02806037
1979,10,31,.0086624,-.0750469,-.0934319,-.0905814,-.1235245,-.0424901,-.1008153,-.1018113,-.1038062,-.0882849,-.08370925,-.10209432,-.09924375,-.13218686,-.05115242,-.10947768,-.11047364,-.11246854,-.09694729
1979,11,30,.0098513,.0601539,.1045402,.1125248,.0077697,.1553785,.07622,.0236189,.0641947,.0326608,.05030261,.09468887,.10267347,-.00208158,.14552718,.06636871,.01376755,.0543434,.02280947
1979,12,31,.0094552,.0270313,.0921233,.090663,.0787188,.0337249,.0411419,.0452601,.012225,.0115332,.01757618,.08266813,.08120787,.06926359,.02426971,.03168678,.03580497,.00276981,.00207808
1980,1,31,.0079682,.0611892,.2257801,.0926703,.1612681,.1803196,.1047203,.1016537,.036139,-.0041084,.053221,.2178119,.08470217,.15329998,.17235139,.09675214,.09368548,.02817088,-.0120766
1980,2,28,.0088606,-.0033055,-.0846868,-.0349021,.0009995,-.0948603,-.0232686,-.0222456,-.0130852,-.0560414,-.01216609,-.09354744,-.04376268,-.00786113,-.10372091,-.03212925,-.03110624,-.02194587,-.06490202
1980,3,31,.0120274,-.1243168,-.1330744,-.1654644,-.2062864,-.1179956,-.1442169,-.123072,-.1195721,-.081861,-.13634421,-.14510174,-.17749182,-.21831381,-.13002294,-.15624424,-.13509938,-.13159952,-.09388841
1980,4,30,.0125213,.0509782,-.0308717,.0187236,.0228372,.0184291,.042197,-.0394687,.0533512,.0452601,.03845696,-.04339294,.00620233,.01031595,.00590785,.02967577,-.05199002,.04082989,.03273885
1980,5,31,.0080674,.0589291,.0056838,.0365248,.0504079,-.0030045,.093126,.0569473,.0862694,.0913934,.0508617,-.00238355,.0284574,.04234053,-.01107188,.08505861,.04887991,.07820207,.08332605
1980,6,30,.0060815,.0360426,-.0011006,.0223484,.0237165,.018331,.0366212,.0265446,.0523078,.0246926,.02996112,-.00718208,.01626693,.01763506,.01224949,.03053971,.02046309,.04622631,.01861114
1980,7,31,.005286,.0678455,.1127035,.1505729,.1200915,.0871864,.0863612,.1153801,.0472652,.1046302,.06255954,.10741749,.14528685,.11480548,.08190035,.08107517,.11009414,.04197919,.09934424
1980,8,31,.0063796,.0241071,.015578,.0024969,.010841,.0353671,.0125213,.0721346,.0300441,.0027961,.01772747,.00919842,-.00388273,.00446142,.02898754,.00614167,.06575499,.02366451,-.00358352
1980,9,30,.007472,.0289761,.0421012,.0340149,.0448778,.0438255,.0105442,.0695261,.0426763,-.0078306,.02150409,.03462916,.02654286,.03740575,.03635346,.0030722,.06205405,.03520426,-.01530259
1980,10,31,.0094552,.0199007,-.0318003,-.0003,-.0103534,-.016841,.004689,.0348844,.0252778,-.0186733,.0104455,-.04125547,-.0097552,-.01980857,-.02629618,-.00476617,.02542924,.01582265,-.02812842
1980,11,30,.0095542,.1002977,.1613533,.1535791,.0540146,.1692363,.0017984,.1361031,.0964005,.0093561,.09074351,.15179904,.14402488,.04446038,.15968211,-.00775583,.12654887,.08684628,-.00019812
1980,12,31,.0130149,-.0326265,.0575139,.0499324,-.0439519,.02137,-.0415514,-.0889405,-.0035061,.0022974,-.04564144,.04449897,.03691743,-.05696683,.00835509,-.05456637,-.10195545,-.01652108,-.01071758
1981,1,31,.0103463,-.040822,-.0709591,-.0939811,.0071742,-.1253365,.0445909,-.0873023,-.0383251,.0045895,-.05116829,-.08130538,-.10432736,-.00317209,-.13568278,.03424459,-.09764862,-.04867141,-.00575684
1981,2,28,.0106432,.0161686,-.0391567,-.0068232,.0251803,-.0149106,.0312079,.007472,.0167588,.0316924,.00552542,-.04979988,-.01746639,.01453714,-.02555377,.02056477,-.00317115,.00611562,.02104929
1981,3,31,.0120274,.0465973,.0287818,.0508832,.1819048,.0161686,.0765906,.1176941,.0672847,.1265445,.0345699,.01675442,.03885583,.16987743,.0041412,.06456322,.10566676,.05525737,.11451716
1981,4,30,.0107421,-.0102524,.0102473,-.0123763,-.0159262,.0030952,-.020713,.0443996,.0023971,.0413339,-.02099447,-.00049478,-.02311837,-.02666825,-.00764689,-.03145514,.03365749,-.00834497,.03059176
1981,5,31,.0114344,.0125213,-.0068232,.0049875,-.0008003,-.0191828,.0127188,.0576083,.0185273,.0251803,.0010869,-.0182576,-.00644684,-.0122347,-.0306172,.00128439,.04617393,.00709293,.01374592
1981,6,30,.0134097,-.0101513,-.0287082,-.0680647,-.0657125,-.0150121,.0059821,-.0982746,.0061809,-.012275,-.02356104,-.04211785,-.08147442,-.07912223,-.02842181,-.00742762,-.11168425,-.00722883,-.02568472
1981,7,31,.0123238,-.0030045,-.065499,-.0400931,.0017984,-.0877389,-.0108587,-.0728933,-.020713,-.0280909,-.01532826,-.07782273,-.05241684,-.01052537,-.10006266,-.02318249,-.08521708,-.03303679,-.04041463
1981,8,31,.0127188,-.0592194,-.1131687,-.0834903,-.0750469,-.1598167,-.0589011,-.0273712,-.0539283,-.0626204,-.07193813,-.12588747,-.09620909,-.08776565,-.17253548,-.07161988,-.04008997,-.06664711,-.07533914
1981,9,30,.0123238,-.061131,-.0495054,-.0620882,-.1000414,-.0534008,-.0063199,-.0229616,-.0397809,-.0270629,-.07345475,-.06182917,-.07441194,-.11236511,-.06572452,-.01864368,-.03528536,-.05210462,-.03938667
1981,10,31,.0120274,.0594946,.0655068,.0717624,.0123237,.1114519,.0794579,.1058004,.0761274,.0532564,.04746719,.05347942,.05973499,.00029637,.09942454,.06743054,.09377304,.06409998,.04122898
1981,11,30,.0106432,.0433468,-.0143018,-.0741849,.0431553,-.0553013,.0330479,-.0367677,.0576083,.0114344,.03270364,-.02494495,-.08482806,.03251211,-.06594448,.02240469,-.04741088,.04696515,.00079122
1981,12,31,.0086624,-.0281937,-.0017014,.0029955,-.0269602,.0271287,-.0217345,-.0050125,-.0297378,-.018979,-.03685611,-.01036382,-.00566686,-.03562256,.01846629,-.03039687,-.01367491,-.03840019,-.02764134
1982,1,31,.0079682,-.0247026,-.0469868,-.0271657,-.0932124,.0249853,.0182328,-.0015011,-.0387408,.0130149,-.03267078,-.05495496,-.03513384,-.10118055,.01701708,.0102646,-.0094693,-.046709,.00504677
1982,2,28,.0091579,-.0506619,-.0559356,.0062802,-.0482453,-.0929929,-.0156214,-.0905814,-.0462534,-.0058169,-.05981985,-.06509357,-.0028777,-.05740325,-.10215081,-.02477932,-.09973931,-.05541132,-.01497482
