year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,FF_SMB_Factor,FF_HML_Factor,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1978,5,31,0.005087,0.0224462,0.1143103,0.02137,0.0333381,0.0478373,0.0487902,0.0666301,0.014593,-0.0033055,0.01735915,0.0445909,-0.0063199,0.1092233,0.01628299,0.02825102,0.04275029,0.04370313,0.06154304,0.00950596,-0.0083925,-0.0405365,0.08360405,0.01017745,-0.0068763
1978,6,30,0.0053855,-0.0115666,0.0351741,0.0357532,-0.063579,0.0376811,-0.0163327,-0.0222456,-0.011769,-0.0225524,-0.01695211,0.0167588,0.0057832,0.0297886,0.0303677,-0.06896445,0.03229559,-0.02171813,-0.02763108,-0.01715446,-0.02793788,-0.00677766,0.10181794,0.00495443,0.05432337
1978,7,31,0.0055844,0.0551508,0.1528069,0.1246924,0.078349,0.0930349,0.0584576,0.0670977,0.0507882,0.0514533,0.04956647,0.0027961,-0.0109598,0.14722254,0.11910806,0.07276458,0.08745049,0.05287319,0.06151337,0.04520379,0.04586891,-0.01097925,-0.02757546,-0.01399463,-0.03033437
1978,8,31,0.0055844,0.042197,0.0441126,0.036139,0.005087,0.040854,-0.0032051,0.0306262,0.0587405,0.0532564,0.03661267,0.0497421,-0.0048116,0.0385282,0.03055467,-0.00049734,0.03526962,-0.00878951,0.02504181,0.05315612,0.04767199,0.02412118,-0.00537368,-0.00667167,-0.0635069
1978,9,30,0.0061809,-0.008133,-0.0817525,-0.0391567,0.0123237,-0.0262413,0.0141987,-0.0256255,-0.0089398,-0.0234734,-0.01431384,-0.0041084,0.0185273,-0.08793336,-0.04533757,0.00614289,-0.03242217,0.00801786,-0.03180641,-0.0151207,-0.02965421,0.03854867,0.01507046,0.00593708,0.01242742
1978,10,31,0.006777,-0.1191214,-0.1671177,-0.1159722,-0.1271518,-0.2011375,-0.1585269,-0.1886214,-0.1144013,-0.1389173,-0.12589841,-0.10425,0.0135084,-0.17389471,-0.12274916,-0.13392877,-0.20791445,-0.16530389,-0.19539835,-0.12117825,-0.14569429,-0.03525083,-0.06171071,-0.02940796,-0.01580507
1978,11,30,0.0069756,0.0335315,0.0987588,0.0747363,0.0127188,0.0483139,0.0435383,0.0073728,0.0179381,0.0196065,0.02655587,0.0296559,-0.0223479,0.09178316,0.06776073,0.00574316,0.04133824,0.03656269,0.00039714,0.01096253,0.01263092,-0.04229196,0.03694557,0.01849718,0.03455013
1978,12,31,0.0077697,0.0164637,0.0256677,0.0514533,0.0021976,0.0323704,0.0329511,-0.0071253,0.012225,-0.0155198,0.00869399,0.0124225,-0.0221434,0.01789801,0.04368355,-0.00557215,0.02460064,0.02518136,-0.01489506,0.00445523,-0.02328955,-0.03443915,-0.01530566,-0.01339217,-0.06968095
1979,1,31,0.0076705,0.0487902,0.0493614,0.0398936,0.1255748,0.0307232,0.0641947,0.0597772,0.0612832,0.061001,0.04111966,0.036139,0.0221528,0.04169092,0.03222306,0.11790432,0.02305267,0.05652421,0.0521067,0.05361272,0.05333052,-0.02359903,-0.08683095,-0.00697145,-0.07371107
1979,2,28,0.0072735,-0.0287082,-0.1389173,-0.0532953,-0.0374942,-0.0625139,-0.0396768,-0.0760175,-0.0315939,-0.0440564,-0.03598165,0.0044899,0.0117309,-0.14619079,-0.06056878,-0.04476769,-0.06978739,-0.0469503,-0.08329097,-0.03886735,-0.05132987,-0.08384797,-0.07033425,-0.05921067,-0.05123581
